"Tabela 4 - Vitaminas na composição de alimentos por 100 gramas de parte comestível",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"(continuação)"
"Código e descrição do alimento ",,"Código e descrição da preparação",,"Reti-
nol
(mcg)","Vitami-
na A
(RAE)
(mcg)","Tiami-
na
(mg)","Ribofla-
vina
(mg)","Niaci-
na
(mg)","Niaci-
na
(NE)
(mg)","Pirido-
xina
(mg)","Coba-
lami-
na
(mcg)","Folato
(DFE)
(mcg)","Vitami-
na D
(mcg)","Vitami-
na E
6400601,"Mandioca",15,"Sopa","-","33,48","0,03","0,03","0,51","0,67","0,04","0,02","9,28","-","0,20","2,10"
6400601,"Mandioca",99,"Não se aplica","-","-","0,06","-","-","-","0,03","-","-","-","-","11,10"
6400609,"Aipim",2,"Cozido(a)","-","-","0,06","-","-","-","0,03","-","-","-","-","11,10"
6400609,"Aipim",4,"Assado(a)","-","-","0,06","-","-","-","0,03","-","-","-","-","11,10"
6400609,"Aipim",5,"Frito(a)","-","-","0,06","-","-","-","0,03","-","-","-","0,41","10,55"
6400609,"Aipim",6,"Empanado(a)/à milanesa","-","-","0,06","-","-","-","0,03","-","-","-","0,41","10,55"
6400609,"Aipim",7,"Refogado(a)","-","-","0,06","-","-","-","0,03","-","-","-","0,41","10,55"
6400609,"Aipim",8,"Molho vermelho","-","3,48","0,05","0,01","0,20","0,23","0,04","-","2,20","-","0,28","10,28"
6400609,"Aipim",11,"Com manteiga/óleo","33,55","34,21","0,06","0,00","0,00","0,01","0,03","0,01","0,15","0,07","0,12","10,55"
6400609,"Aipim",13,"Ensopado","-","-","0,06","-","-","-","0,03","-","-","-","0,41","10,55"
6400609,"Aipim",15,"Sopa","-","33,48","0,03","0,03","0,51","0,67","0,04","0,02","9,28","-","0,20","2,10"
6400609,"Aipim",99,"Não se aplica","-","-","0,06","-","-","-","0,03","-","-","-","-","11,10"
6400610,"Macaxeira",1,"Cru(a)","-","-","0,06","-","-","-","0,03","-","-","-","-","11,10"
6400610,"Macaxeira",2,"Cozido(a)","-","-","0,06","-","-","-","0,03","-","-","-","-","11,10"
6400610,"Macaxeira",4,"Assado(a)","-","-","0,06","-","-","-","0,03","-","-","-","-","11,10"
6400610,"Macaxeira",5,"Frito(a)","-","-","0,06","-","-","-","0,03","-","-","-","0,41","10,55"
6400701,"Cará",2,"Cozido(a)","-","1043,46","0,07","0,06","0,56","0,91","0,19","-","22,00","-","0,77","9,10"
