" Tabela 3 - Minerais na composição de alimentos por 100 gramas de parte comestível",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"(continuação)"
"Código e descrição do alimento ",,"Código e descrição da preparação",,"Cálcio 
(mg)","Mag-
nésio 
(mg)","Man-
ganês 
(mg)","Fósforo 
(mg)","Ferro 
(mg)","Sódio 
(mg)","Sódio 
de 
adição 
(mg)","Potás-
sio
(mg)","Co-
bre 
(mg)","Zinco
(mg)","Selê-
nio
(mcg)"
"Cereais e leguminosas",,,,,,,,,,,,,,
6400609,"Aipim",2,"Cozido(a)","19,00","27,00","0,06","22,00","0,10","1,00","286,00","100,00","0,01","0,20","-"
6400609,"Aipim",4,"Assado(a)","19,00","27,00","0,06","22,00","0,10","1,00","286,00","100,00","0,01","0,20","-"
6400609,"Aipim",5,"Frito(a)","18,05","25,65","0,06","20,90","0,10","0,95","286,00","95,00","0,01","0,19","2,28"
6400609,"Aipim",6,"Empanado(a)/à milanesa","18,05","25,65","0,06","20,90","0,10","0,95","286,00","95,00","0,01","0,19","2,28"
6400609,"Aipim",7,"Refogado(a)","18,05","25,65","0,06","20,90","0,10","0,95","286,00","95,00","0,01","0,19","2,28"
6400609,"Aipim",8,"Molho vermelho","17,80","24,80","0,07","22,80","0,28","105,60","228,80","146,20","0,03","0,20","0,04"
6400609,"Aipim",11,"Com manteiga/óleo","19,25","25,75","0,06","22,10","0,10","29,75","286,00","96,20","0,01","0,19","0,05"
6400609,"Aipim",13,"Ensopado","18,05","25,65","0,06","20,90","0,10","0,95","286,00","95,00","0,01","0,19","2,28"
6400609,"Aipim",15,"Sopa","8,56","6,35","0,07","15,76","0,29","310,43","-","88,32","0,04","0,12","1,34"
6400609,"Aipim",99,"Não se aplica","19,00","27,00","0,06","22,00","0,10","1,00","286,00","100,00","0,01","0,20","-"
6400610,"Macaxeira",1,"Cru(a)","19,00","27,00","0,06","22,00","0,10","1,00","286,00","100,00","0,01","0,20","-"
6400610,"Macaxeira",2,"Cozido(a)","19,00","27,00","0,06","22,00","0,10","1,00","286,00","100,00","0,01","0,20","-"
6400610,"Macaxeira",4,"Assado(a)","19,00","27,00","0,06","22,00","0,10","1,00","286,00","100,00","0,01","0,20","-"
6400610,"Macaxeira",5,"Frito(a)","18,05","25,65","0,06","20,90","0,10","0,95","286,00","95,00","0,01","0,19","2,28"
6400701,"Cará",2,"Cozido(a)","35,00","21,00","0,67","44,00","0,54","8,00","260,00","377,00","0,18","0,30","0,60"
6400701,"Cará",5,"Frito(a)","35,00","21,00","0,67","44,00","0,54","8,00","260,00","377,00","0,18","0,30","1,42"
6400701,"Cará",7,"Refogado(a)","35,00","21,00","0,67","44,00","0,54","8,00","260,00","377,00","0,18","0,30","1,42"
6400701,"Cará",13,"Ensopado","35,00","21,00","0,67","44,00","0,54","8,00","260,00","377,00","0,18","0,30","1,42"
6400701,"Cará",14,"Mingau","35,00","21,00","0,67","44,00","0,54","8,00","260,00","377,00","0,18","0,30","0,60"
6400701,"Cará",15,"Sopa","8,56","6,35","0,07","15,76","0,29","310,43","-","88,32","0,04","0,12","1,34"
6400713,"Inhame caraquento (cará)",2,"Cozido(a)","35,00","21,00","0,67","44,00","0,54","8,00","260,00","377,00","0,18","0,30","0,60"
6400802,"Batata (não especificada)",1,"Cru(a)","8,00","20,00","0,14","40,00","0,31","5,00","242,00","328,00","0,17","0,27","0,30"
6400802,"Batata (não especificada)",2,"Cozido(a)","8,00","20,00","0,14","40,00","0,31","5,00","242,00","328,00","0,17","0,27","0,30"
6400802,"Batata (não especificada)",3,"Grelhado(a)/brasa/churrasco","8,00","20,00","0,14","40,00","0,31","5,00","242,00","328,00","0,17","0,27","0,30"
6400802,"Batata (não especificada)",4,"Assado(a)","8,00","20,00","0,14","40,00","0,31","5,00","242,00","328,00","0,17","0,27","0,30"
6400802,"Batata (não especificada)",5,"Frito(a)","13,43","33,58","0,24","67,17","0,53","8,40","380,00","550,76","0,28","0,46","6,68"
6400802,"Batata (não especificada)",7,"Refogado(a)","8,00","20,00","0,14","40,00","0,31","5,00","242,00","328,00","0,17","0,27","1,63"
6400802,"Batata (não especificada)",8,"Molho vermelho","9,00","19,20","0,13","37,20","0,45","108,80","242,00","328,60","0,16","0,26","0,28"
6400802,"Batata (não especificada)",9,"Molho branco","29,28","18,31","0,12","51,69","0,32","24,92","242,00","292,45","0,14","0,31","1,41"
6400802,"Batata (não especificada)",12,"Ao vinagrete","8,00","20,00","0,14","40,00","0,31","5,00","242,00","328,00","0,17","0,27","1,63"
6400802,"Batata (não especificada)",13,"Ensopado","8,00","20,00","0,14","40,00","0,31","5,00","242,00","328,00","0,17","0,27","1,63"
6400802,"Batata (não especificada)",15,"Sopa","8,56","6,35","0,07","15,76","0,29","310,43","-","88,32","0,04","0,12","1,34"
6400802,"Batata (não especificada)",99,"Não se aplica","8,00","20,00","0,14","40,00","0,31","5,00","242,00","328,00","0,17","0,27","0,30"
6400908,"Mandioquinha",2,"Cozido(a)","27,00","18,00","0,27","32,00","0,72","27,00","148,00","230,00","0,09","0,20","0,20"
6400908,"Mandioquinha",5,"Frito(a)","25,65","17,10","0,25","30,40","0,69","25,65","148,00","218,50","0,09","0,19","2,48"
6400908,"Mandioquinha",7,"Refogado(a)","27,00","18,00","0,27","32,00","0,72","27,00","148,00","230,00","0,09","0,20","1,02"
6400908,"Mandioquinha",13,"Ensopado","27,00","18,00","0,27","32,00","0,72","27,00","148,00","230,00","0,09","0,20","1,02"
6401001,"Rabanete",1,"Cru(a)","25,00","10,00","0,07","20,00","0,34","39,00","-","233,00","0,05","0,28","0,60"
6401001,"Rabanete",2,"Cozido(a)","27,00","16,00","0,04","23,00","0,40","21,00","257,00","227,00","0,12","0,15","0,70"
6401001,"Rabanete",12,"Ao vinagrete","27,00","16,00","0,04","23,00","0,40","21,00","257,00","227,00","0,12","0,15","0,70"
6401101,"Beterraba",1,"Cru(a)","16,00","23,00","0,33","40,00","0,80","78,00","-","325,00","0,08","0,35","0,70"
